epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667927954853,2022-11-08T19:19:14.853,11.360,1.555,-0.793,0.000
1667927954893,2022-11-08T19:19:14.893,11.400,1.890,-0.976,-0.030
1667927954933,2022-11-08T19:19:14.933,11.440,0.793,-0.640,0.122
1667927954973,2022-11-08T19:19:14.973,11.480,-1.341,0.640,-0.366
1667927955013,2022-11-08T19:19:15.013,11.520,-0.640,0.579,-0.884
1667927955053,2022-11-08T19:19:15.053,11.560,-1.159,-0.061,-1.311
1667927955093,2022-11-08T19:19:15.093,11.600,-1.616,0.518,-1.159
1667927955133,2022-11-08T19:19:15.133,11.640,-0.976,0.427,-0.945
1667927955173,2022-11-08T19:19:15.173,11.680,0.549,-0.457,-0.671
1667927955213,2022-11-08T19:19:15.213,11.720,1.372,-1.341,0.122
1667927955253,2022-11-08T19:19:15.253,11.760,2.195,-2.012,0.640
1667927955293,2022-11-08T19:19:15.293,11.800,1.951,-1.951,0.640
1667927955333,2022-11-08T19:19:15.333,11.840,0.366,-0.579,0.945
1667927955373,2022-11-08T19:19:15.373,11.880,-1.677,0.274,1.189
1667927955413,2022-11-08T19:19:15.413,11.920,-1.280,0.396,0.823
1667927955453,2022-11-08T19:19:15.453,11.960,-0.732,0.183,0.640
1667927955493,2022-11-08T19:19:15.493,12.000,-0.915,-0.030,0.549
1667927955533,2022-11-08T19:19:15.533,12.040,-0.823,0.030,0.732
1667927955573,2022-11-08T19:19:15.573,12.080,-1.037,0.305,0.762
1667927955613,2022-11-08T19:19:15.613,12.120,-0.366,-0.366,0.305
1667927955653,2022-11-08T19:19:15.653,12.160,0.091,-0.244,0.610
1667927955693,2022-11-08T19:19:15.693,12.200,0.000,-0.152,0.762
1667927955733,2022-11-08T19:19:15.733,12.240,0.335,-0.518,0.793
1667927955773,2022-11-08T19:19:15.773,12.280,-0.091,-0.152,0.915
1667927955813,2022-11-08T19:19:15.813,12.320,-0.396,-0.061,0.396
1667927955853,2022-11-08T19:19:15.853,12.360,-0.457,-0.152,0.152
1667927955893,2022-11-08T19:19:15.893,12.400,-0.518,-0.061,0.000
1667927955933,2022-11-08T19:19:15.933,12.440,-1.006,-0.061,0.030
1667927955973,2022-11-08T19:19:15.973,12.480,-1.585,0.122,0.488
1667927956013,2022-11-08T19:19:16.013,12.520,-1.555,0.671,0.762
1667927956053,2022-11-08T19:19:16.053,12.560,-1.128,0.396,0.793
1667927956093,2022-11-08T19:19:16.093,12.600,0.122,0.183,0.762
1667927956133,2022-11-08T19:19:16.133,12.640,1.524,0.274,1.006
1667927956173,2022-11-08T19:19:16.173,12.680,0.884,0.122,0.976
1667927956213,2022-11-08T19:19:16.213,12.720,0.396,-0.335,0.366
1667927956253,2022-11-08T19:19:16.253,12.760,-0.549,0.579,0.122
1667927956293,2022-11-08T19:19:16.293,12.800,-0.823,0.701,-0.091
1667927956333,2022-11-08T19:19:16.333,12.840,-0.396,0.305,-0.274
1667927956373,2022-11-08T19:19:16.373,12.880,0.091,0.030,-0.030
1667927956413,2022-11-08T19:19:16.413,12.920,-0.213,-0.274,0.396
1667927956453,2022-11-08T19:19:16.453,12.960,-1.037,-0.091,0.335
1667927956493,2022-11-08T19:19:16.493,13.000,-1.707,0.427,0.427
1667927956533,2022-11-08T19:19:16.533,13.040,-1.585,0.335,0.396
1667927956573,2022-11-08T19:19:16.573,13.080,-1.006,0.366,0.854
1667927956613,2022-11-08T19:19:16.613,13.120,-0.732,-0.366,0.945
1667927956653,2022-11-08T19:19:16.653,13.160,0.183,-0.732,0.915
1667927956693,2022-11-08T19:19:16.693,13.200,0.488,-0.640,0.945
1667927956733,2022-11-08T19:19:16.733,13.240,0.183,-0.701,0.457
1667927956773,2022-11-08T19:19:16.773,13.280,0.579,-0.366,0.274
1667927956813,2022-11-08T19:19:16.813,13.320,0.122,-0.579,0.122
1667927956853,2022-11-08T19:19:16.853,13.360,-0.396,-0.335,-0.091
1667927956893,2022-11-08T19:19:16.893,13.400,-0.976,0.091,0.091
1667927956933,2022-11-08T19:19:16.933,13.440,-0.640,-0.122,0.183
1667927956973,2022-11-08T19:19:16.973,13.480,-0.213,-0.366,0.305
1667927957013,2022-11-08T19:19:17.013,13.520,-0.427,-0.396,0.335
1667927957053,2022-11-08T19:19:17.053,13.560,0.000,-0.457,0.274
1667927957093,2022-11-08T19:19:17.093,13.600,-0.213,-0.152,0.213
1667927957133,2022-11-08T19:19:17.133,13.640,-0.366,-0.091,0.427
1667927957173,2022-11-08T19:19:17.173,13.680,-0.732,-0.091,0.366
1667927957213,2022-11-08T19:19:17.213,13.720,-0.274,-0.213,0.366
1667927957253,2022-11-08T19:19:17.253,13.760,0.213,-0.366,0.396
1667927957293,2022-11-08T19:19:17.293,13.800,-0.061,-0.366,0.305
1667927957333,2022-11-08T19:19:17.333,13.840,-0.549,-0.335,0.274
1667927957373,2022-11-08T19:19:17.373,13.880,-1.250,0.061,0.427
1667927957413,2022-11-08T19:19:17.413,13.920,-1.311,0.335,0.579
1667927957453,2022-11-08T19:19:17.453,13.960,-0.701,-0.305,0.640
1667927957493,2022-11-08T19:19:17.493,14.000,-0.549,-0.244,0.610
1667927957533,2022-11-08T19:19:17.533,14.040,-1.189,-0.183,0.457
1667927957573,2022-11-08T19:19:17.573,14.080,-1.433,0.335,0.549
1667927957613,2022-11-08T19:19:17.613,14.120,-1.341,0.427,0.579
1667927957653,2022-11-08T19:19:17.653,14.160,-0.244,0.213,0.488
1667927957693,2022-11-08T19:19:17.693,14.200,1.189,-0.488,0.427
